"lon","lat"
16.5137886274343,48.1589279782568
16.5114336143691,48.1584945761271
16.5112714573994,48.1584627505001
16.5111325200516,48.1584370613991
16.5102904256661,48.158281407237
16.5100550544444,48.1582379122704
16.509867751705,48.1582033042059
16.5087485496893,48.1579964869481
16.5079890830551,48.1578659629864
16.5078029490295,48.1578339551683
16.5074093745565,48.1577489260483
16.5071129152524,48.1576844357608
16.5070965050844,48.1576808628483
16.5069760384817,48.157654664602
16.5068911093542,48.1576362016426
16.5067933212187,48.157614942809
16.5066952521843,48.1575981270007
16.5066406902253,48.1575887739745
16.5062314156031,48.1575186030572
16.5060016832603,48.1574792103749
16.5057332000182,48.1574331780023
16.5055271839644,48.1573978557182
16.5054968570565,48.1573926573107
16.5034022975216,48.1570334921191
16.5017870017488,48.1567564714516
16.5017277601827,48.1567463143383
16.5016086105333,48.156726862538
16.5006218236433,48.1565657788647
16.5004447519098,48.156536884821
16.5001497743333,48.1564887152814
16.499553602622,48.1563913845121
16.4993799370406,48.1563630325763
16.4984297957725,48.1562079125352
16.4979722338864,48.1566239584195
16.4979609576794,48.1566284709476
16.4962321867129,48.1573210379521
16.4952807138825,48.1578293108218
16.494915781569,48.1580242515986
16.4946062008055,48.1581899757143
16.4945134739312,48.1582396566091
16.4944248798904,48.1582870834121
16.494393371378,48.1583039442719
16.4943319107218,48.1583367644932
16.4934379079333,48.1588153558401
16.4931119890653,48.1586515837278
16.4930627500664,48.158626845639
16.4930627258005,48.1586268222895
16.4925300246958,48.1583590155445
16.4924964462818,48.1583407328786
16.49248532537,48.1583347045075
16.4924697074576,48.1583261821139
16.492430662836,48.158304921087
16.4921192700077,48.15809777868
16.4920127337239,48.1580266962543
16.4919989778736,48.1580116061608
16.4919400770164,48.1579579960024
16.4918658219813,48.1578940643194
16.4917531666683,48.1577994274891
16.4916813423816,48.1577390897153
16.4913524921489,48.1574905996427
16.4911076957687,48.1573012611918
16.4908311092735,48.1570883126148
16.4903665875432,48.1567301040355
16.4903642950392,48.1567275889865
16.4902340941533,48.1566070195151
16.4902277593224,48.1566011463868
16.4901021581902,48.1564903373253
16.4899645912264,48.1563781951434
16.4898282380264,48.1562672203015
16.4896881528585,48.1561665925817
16.4894120268305,48.1559688386211
16.4892390762775,48.1558441521126
16.4891277121352,48.1557737928819
16.4890982193189,48.1557544065944
16.4888308265177,48.1555993578036
16.4885949475836,48.1554649511947
16.4885445889394,48.1554343508063
16.4882799852911,48.1552668862656
16.4881408823055,48.1551783063742
16.4874683937109,48.155296106712
16.4871784886443,48.1553448720182
16.4870976191925,48.1553595474131
16.4846324227664,48.1558071178963
16.4846127951105,48.1558103268819
16.4844862565524,48.1558310489629
16.4833472825741,48.1560170559431
16.4801357294163,48.1565415667288
16.4800574048024,48.1565544353177
16.4800848436447,48.1565133015601
16.4803109441941,48.1561381772688
16.4801821360093,48.156122060882
